"iso_id","region","load_date","load_forecast","weather_date","temperature_celsius"
3,"ISO","2024-08-29 04:00:00+00","84947","2024-08-29 04:00:00+00","23.08542840721958"
3,"ISO","2024-08-29 05:00:00+00","79514","2024-08-29 05:00:00+00","22.86043071235821"
3,"ISO","2024-08-29 06:00:00+00","76951","2024-08-29 06:00:00+00","22.39036716590931"
3,"ISO","2024-08-29 07:00:00+00","74940","2024-08-29 07:00:00+00","22.03359779927257"
3,"ISO","2024-08-29 08:00:00+00","74050","2024-08-29 08:00:00+00","21.753313310802298"
3,"ISO","2024-08-29 09:00:00+00","74853","2024-08-29 09:00:00+00","21.483796428880453"
3,"ISO","2024-08-29 10:00:00+00","77168","2024-08-29 10:00:00+00","21.215517505099967"
3,"ISO","2024-08-29 11:00:00+00","80225","2024-08-29 11:00:00+00","20.99122636628988"
3,"ISO","2024-08-29 12:00:00+00","83146","2024-08-29 12:00:00+00","21.04880787224505"
3,"ISO","2024-08-29 13:00:00+00","86491","2024-08-29 13:00:00+00","22.43530150778696"
3,"ISO","2024-08-29 14:00:00+00","89243","2024-08-29 14:00:00+00","24.132211641042602"
3,"ISO","2024-08-29 15:00:00+00","93335","2024-08-29 15:00:00+00","25.84444244011155"
3,"ISO","2024-08-29 16:00:00+00","97294","2024-08-29 16:00:00+00","27.36067639991529"
3,"ISO","2024-08-29 17:00:00+00","100862","2024-08-29 17:00:00+00","28.571598392249086"
3,"ISO","2024-08-29 18:00:00+00","103779","2024-08-29 18:00:00+00","29.43201762962525"
3,"ISO","2024-08-29 19:00:00+00","105591","2024-08-29 19:00:00+00","30.004752659661733"
3,"ISO","2024-08-29 20:00:00+00","106532","2024-08-29 20:00:00+00","30.3162852306275"
3,"ISO","2024-08-29 21:00:00+00","106662","2024-08-29 21:00:00+00","30.322001190354342"
3,"ISO","2024-08-29 22:00:00+00","105606","2024-08-29 22:00:00+00","29.842418452158654"
3,"ISO","2024-08-29 23:00:00+00","103230","2024-08-29 23:00:00+00","28.736935520401175"
3,"ISO","2024-08-30 00:00:00+00","100307","2024-08-30 00:00:00+00","27.018599469650667"
3,"ISO","2024-08-30 01:00:00+00","97697","2024-08-30 01:00:00+00","25.50709908721973"
3,"ISO","2024-08-30 02:00:00+00","93324","2024-08-30 02:00:00+00","24.62263319867384"
3,"ISO","2024-08-30 03:00:00+00","88020","2024-08-30 03:00:00+00","24.041574860980518"
3,"ISO","2024-08-30 04:00:00+00","83140","2024-08-30 04:00:00+00","23.558184142330674"
3,"ISO","2024-08-30 05:00:00+00","80489","2024-08-30 05:00:00+00","23.38168780981499"
3,"ISO","2024-08-30 06:00:00+00","77763","2024-08-30 06:00:00+00","22.9709171555146"
