"iso_id","region","load_date","load_forecast","weather_date","temperature_celsius"
2,"ISO","2024-08-29 04:00:00+00",18441,"2024-08-29 04:00:00+00","22.59981187625823"
2,"ISO","2024-08-29 05:00:00+00",17470,"2024-08-29 05:00:00+00","21.948579135596276"
2,"ISO","2024-08-29 06:00:00+00",16720,"2024-08-29 06:00:00+00","21.26690946217218"
2,"ISO","2024-08-29 07:00:00+00",16246,"2024-08-29 07:00:00+00","20.591808997740316"
2,"ISO","2024-08-29 08:00:00+00",16085,"2024-08-29 08:00:00+00","19.973850520285737"
2,"ISO","2024-08-29 09:00:00+00",16460,"2024-08-29 09:00:00+00","18.941512283282123"
2,"ISO","2024-08-29 10:00:00+00",17275,"2024-08-29 10:00:00+00","18.34070661754356"
2,"ISO","2024-08-29 11:00:00+00",17968,"2024-08-29 11:00:00+00","17.878841225230815"
2,"ISO","2024-08-29 12:00:00+00",18362,"2024-08-29 12:00:00+00","18.551409711074143"
2,"ISO","2024-08-29 13:00:00+00",18431,"2024-08-29 13:00:00+00","19.54880181918446"
2,"ISO","2024-08-29 14:00:00+00",18544,"2024-08-29 14:00:00+00","20.609221282720057"
2,"ISO","2024-08-29 15:00:00+00",18814,"2024-08-29 15:00:00+00","21.525785626015193"
2,"ISO","2024-08-29 16:00:00+00",19103,"2024-08-29 16:00:00+00","22.207909675135795"
2,"ISO","2024-08-29 17:00:00+00",19388,"2024-08-29 17:00:00+00","22.673890632607197"
2,"ISO","2024-08-29 18:00:00+00",19499,"2024-08-29 18:00:00+00","22.939514470457368"
2,"ISO","2024-08-29 19:00:00+00",19904,"2024-08-29 19:00:00+00","23.10392335743535"
2,"ISO","2024-08-29 20:00:00+00",20200,"2024-08-29 20:00:00+00","23.18040985959408"
2,"ISO","2024-08-29 21:00:00+00",20531,"2024-08-29 21:00:00+00","22.981180093752073"
2,"ISO","2024-08-29 22:00:00+00",20461,"2024-08-29 22:00:00+00","22.46335156668232"
2,"ISO","2024-08-29 23:00:00+00",20228,"2024-08-29 23:00:00+00","21.448444247307123"
2,"ISO","2024-08-30 00:00:00+00",19872,"2024-08-30 00:00:00+00","20.278910833005284"
2,"ISO","2024-08-30 01:00:00+00",18967,"2024-08-30 01:00:00+00","19.649212403505317"
2,"ISO","2024-08-30 02:00:00+00",17925,"2024-08-30 02:00:00+00","19.246377972893924"
2,"ISO","2024-08-30 03:00:00+00",16825,"2024-08-30 03:00:00+00","19.028418562973627"
2,"ISO","2024-08-30 04:00:00+00",16266,"2024-08-30 04:00:00+00","19.496408392477747"
2,"ISO","2024-08-30 05:00:00+00",15568,"2024-08-30 05:00:00+00","19.266217564390786"
2,"ISO","2024-08-30 06:00:00+00",15074,"2024-08-30 06:00:00+00","19.05375071549429"
2,"ISO","2024-08-30 07:00:00+00",14813,"2024-08-30 07:00:00+00","18.686692299214258"
2,"ISO","2024-08-30 08:00:00+00",14835,"2024-08-30 08:00:00+00","18.51922975820139"
2,"ISO","2024-08-30 09:00:00+00",15344,"2024-08-30 09:00:00+00","18.30768217310151"
2,"ISO","2024-08-30 10:00:00+00",16231,"2024-08-30 10:00:00+00","18.166500959358245"
2,"ISO","2024-08-30 11:00:00+00",16969,"2024-08-30 11:00:00+00","18.056054861287066"
2,"ISO","2024-08-30 12:00:00+00",17482,"2024-08-30 12:00:00+00","18.271646970369943"
2,"ISO","2024-08-30 13:00:00+00",17686,"2024-08-30 13:00:00+00","18.715432658661314"
2,"ISO","2024-08-30 14:00:00+00",17874,"2024-08-30 14:00:00+00","19.023512707580664"
2,"ISO","2024-08-30 15:00:00+00",18104,"2024-08-30 15:00:00+00","19.393206923258617"
2,"ISO","2024-08-30 16:00:00+00",18384,"2024-08-30 16:00:00+00","19.869117071833955"
2,"ISO","2024-08-30 17:00:00+00",18611,"2024-08-30 17:00:00+00","20.215570230070625"
2,"ISO","2024-08-30 18:00:00+00",18827,"2024-08-30 18:00:00+00","20.3151887494908"
2,"ISO","2024-08-30 19:00:00+00",19087,"2024-08-30 19:00:00+00","20.636248898923782"
2,"ISO","2024-08-30 20:00:00+00",19356,"2024-08-30 20:00:00+00","20.680807061864925"
2,"ISO","2024-08-30 21:00:00+00",19589,"2024-08-30 21:00:00+00","20.56873393333194"
2,"ISO","2024-08-30 22:00:00+00",19502,"2024-08-30 22:00:00+00","20.274714662087774"
2,"ISO","2024-08-30 23:00:00+00",19314,"2024-08-30 23:00:00+00","19.70028335690739"
2,"ISO","2024-08-31 00:00:00+00",18975,"2024-08-31 00:00:00+00","19.120095259182392"
2,"ISO","2024-08-31 01:00:00+00",18173,"2024-08-31 01:00:00+00","18.44216585047468"
2,"ISO","2024-08-31 02:00:00+00",17295,"2024-08-31 02:00:00+00","18.064451043190218"
2,"ISO","2024-08-31 03:00:00+00",16380,"2024-08-31 03:00:00+00","18.11913136453734"
2,"ISO","2024-08-31 04:00:00+00",15667,"2024-08-31 04:00:00+00","19.56398682913175"
2,"ISO","2024-08-31 05:00:00+00",15101,"2024-08-31 05:00:00+00","19.384364498634795"
2,"ISO","2024-08-31 06:00:00+00",14713,"2024-08-31 06:00:00+00","19.19720088137342"
2,"ISO","2024-08-31 07:00:00+00",14467,"2024-08-31 07:00:00+00","19.087239482908615"
2,"ISO","2024-08-31 08:00:00+00",14391,"2024-08-31 08:00:00+00","18.91207813909591"
2,"ISO","2024-08-31 09:00:00+00",14629,"2024-08-31 09:00:00+00","18.761731364777063"
2,"ISO","2024-08-31 10:00:00+00",15012,"2024-08-31 10:00:00+00","18.701497744479468"
2,"ISO","2024-08-31 11:00:00+00",15469,"2024-08-31 11:00:00+00","18.989730859886265"
2,"ISO","2024-08-31 12:00:00+00",16117,"2024-08-31 12:00:00+00","19.884068992109462"
2,"ISO","2024-08-31 13:00:00+00",16721,"2024-08-31 13:00:00+00","21.00245617920126"
2,"ISO","2024-08-31 14:00:00+00",17343,"2024-08-31 14:00:00+00","21.820422798105255"
2,"ISO","2024-08-31 15:00:00+00",17935,"2024-08-31 15:00:00+00","22.7297974200427"
2,"ISO","2024-08-31 16:00:00+00",18496,"2024-08-31 16:00:00+00","23.50358268872941"
2,"ISO","2024-08-31 17:00:00+00",18859,"2024-08-31 17:00:00+00","24.075812027694838"
2,"ISO","2024-08-31 18:00:00+00",19157,"2024-08-31 18:00:00+00","24.332860850383156"
2,"ISO","2024-08-31 19:00:00+00",19507,"2024-08-31 19:00:00+00","24.309536999680006"
2,"ISO","2024-08-31 20:00:00+00",19944,"2024-08-31 20:00:00+00","23.8832450936942"
2,"ISO","2024-08-31 21:00:00+00",20182,"2024-08-31 21:00:00+00","23.876015848322425"
2,"ISO","2024-08-31 22:00:00+00",20096,"2024-08-31 22:00:00+00","23.540473523061962"
2,"ISO","2024-08-31 23:00:00+00",20048,"2024-08-31 23:00:00+00","22.810162031158484"
2,"ISO","2024-09-01 00:00:00+00",19757,"2024-09-01 00:00:00+00","22.011359216824474"
2,"ISO","2024-09-01 01:00:00+00",19121,"2024-09-01 01:00:00+00","21.66648307625917"
2,"ISO","2024-09-01 02:00:00+00",18356,"2024-09-01 02:00:00+00","21.329509869545006"
2,"ISO","2024-09-01 03:00:00+00",17488,"2024-09-01 03:00:00+00","21.07250838460243"
2,"ISO","2024-09-01 04:00:00+00",16984,"2024-09-01 04:00:00+00","21.029208256301672"
2,"ISO","2024-09-01 05:00:00+00",16351,"2024-09-01 05:00:00+00","20.88063978291956"
2,"ISO","2024-09-01 06:00:00+00",15852,"2024-09-01 06:00:00+00","20.863433859708778"
2,"ISO","2024-09-01 07:00:00+00",15487,"2024-09-01 07:00:00+00","20.754580826288702"
2,"ISO","2024-09-01 08:00:00+00",15273,"2024-09-01 08:00:00+00","20.619363452999096"
2,"ISO","2024-09-01 09:00:00+00",15271,"2024-09-01 09:00:00+00","20.440343700578808"
2,"ISO","2024-09-01 10:00:00+00",15295,"2024-09-01 10:00:00+00","20.397944291277497"
2,"ISO","2024-09-01 11:00:00+00",15339,"2024-09-01 11:00:00+00","20.454356720205226"
2,"ISO","2024-09-01 12:00:00+00",15705,"2024-09-01 12:00:00+00","21.55698835931338"
2,"ISO","2024-09-01 13:00:00+00",16189,"2024-09-01 13:00:00+00","22.906187218149114"
2,"ISO","2024-09-01 14:00:00+00",16801,"2024-09-01 14:00:00+00","23.965124054670866"
2,"ISO","2024-09-01 15:00:00+00",17454,"2024-09-01 15:00:00+00","25.363991251328798"
2,"ISO","2024-09-01 16:00:00+00",18056,"2024-09-01 16:00:00+00","26.581869241789434"
2,"ISO","2024-09-01 17:00:00+00",18541,"2024-09-01 17:00:00+00","27.084019362535912"
2,"ISO","2024-09-01 18:00:00+00",18968,"2024-09-01 18:00:00+00","27.07536761607639"
2,"ISO","2024-09-01 19:00:00+00",19444,"2024-09-01 19:00:00+00","26.966924936151315"
2,"ISO","2024-09-01 20:00:00+00",20089,"2024-09-01 20:00:00+00","26.62185951812569"
2,"ISO","2024-09-01 21:00:00+00",20550,"2024-09-01 21:00:00+00","25.826070549163433"
2,"ISO","2024-09-01 22:00:00+00",20652,"2024-09-01 22:00:00+00","24.40367496320721"
2,"ISO","2024-09-01 23:00:00+00",20703,"2024-09-01 23:00:00+00","23.305168769431532"
2,"ISO","2024-09-02 00:00:00+00",20409,"2024-09-02 00:00:00+00","22.332997767929612"
2,"ISO","2024-09-02 01:00:00+00",19671,"2024-09-02 01:00:00+00","21.628337775302896"
2,"ISO","2024-09-02 02:00:00+00",18710,"2024-09-02 02:00:00+00","21.165043691843607"
2,"ISO","2024-09-02 03:00:00+00",17679,"2024-09-02 03:00:00+00","20.938607542578495"
2,"ISO","2024-09-02 04:00:00+00",16940,"2024-09-02 04:00:00+00","20.175182294818228"
2,"ISO","2024-09-02 05:00:00+00",16181,"2024-09-02 05:00:00+00","19.736734083684325"
2,"ISO","2024-09-02 06:00:00+00",15548,"2024-09-02 06:00:00+00","18.91981163805866"
2,"ISO","2024-09-02 07:00:00+00",15121,"2024-09-02 07:00:00+00","18.191016529200624"
2,"ISO","2024-09-02 08:00:00+00",14881,"2024-09-02 08:00:00+00","17.55359271009428"
2,"ISO","2024-09-02 09:00:00+00",14912,"2024-09-02 09:00:00+00","16.975286760875974"
2,"ISO","2024-09-02 10:00:00+00",15058,"2024-09-02 10:00:00+00","16.427389671115236"
2,"ISO","2024-09-02 11:00:00+00",15021,"2024-09-02 11:00:00+00","16.147111927255366"
2,"ISO","2024-09-02 12:00:00+00",15165,"2024-09-02 12:00:00+00","17.518780377590247"
2,"ISO","2024-09-02 13:00:00+00",15405,"2024-09-02 13:00:00+00","18.64557040795114"
2,"ISO","2024-09-02 14:00:00+00",15697,"2024-09-02 14:00:00+00","19.644586824125668"
2,"ISO","2024-09-02 15:00:00+00",15917,"2024-09-02 15:00:00+00","20.629740586091998"
2,"ISO","2024-09-02 16:00:00+00",16206,"2024-09-02 16:00:00+00","21.46479983085402"
2,"ISO","2024-09-02 17:00:00+00",16501,"2024-09-02 17:00:00+00","22.090079227472074"
2,"ISO","2024-09-02 18:00:00+00",16779,"2024-09-02 18:00:00+00","22.495645744343904"
2,"ISO","2024-09-02 19:00:00+00",17084,"2024-09-02 19:00:00+00","22.661794515449515"
2,"ISO","2024-09-02 20:00:00+00",17597,"2024-09-02 20:00:00+00","22.572044949099734"
2,"ISO","2024-09-02 21:00:00+00",18197,"2024-09-02 21:00:00+00","22.20253233650567"
2,"ISO","2024-09-02 22:00:00+00",18474,"2024-09-02 22:00:00+00","21.484904824703563"
2,"ISO","2024-09-02 23:00:00+00",18669,"2024-09-02 23:00:00+00","20.162225258752244"
2,"ISO","2024-09-03 00:00:00+00",18597,"2024-09-03 00:00:00+00","18.727430086446304"
2,"ISO","2024-09-03 01:00:00+00",17656,"2024-09-03 01:00:00+00","17.751546842646405"
2,"ISO","2024-09-03 02:00:00+00",16528,"2024-09-03 02:00:00+00","16.827170208074335"
2,"ISO","2024-09-03 03:00:00+00",15440,"2024-09-03 03:00:00+00","15.960652185432025"
2,"ISO","2024-09-03 04:00:00+00",14565,"2024-09-03 04:00:00+00","15.167915939155932"
2,"ISO","2024-09-03 05:00:00+00",14052,"2024-09-03 05:00:00+00","14.474144375474111"
2,"ISO","2024-09-03 06:00:00+00",13669,"2024-09-03 06:00:00+00","13.824290235297838"
2,"ISO","2024-09-03 07:00:00+00",13460,"2024-09-03 07:00:00+00","13.232465539054772"
2,"ISO","2024-09-03 08:00:00+00",13544,"2024-09-03 08:00:00+00","12.658305350837395"
2,"ISO","2024-09-03 09:00:00+00",14108,"2024-09-03 09:00:00+00","12.146805168907235"
2,"ISO","2024-09-03 10:00:00+00",15009,"2024-09-03 10:00:00+00","11.68040386015224"
2,"ISO","2024-09-03 11:00:00+00",15398,"2024-09-03 11:00:00+00","11.5437879302454"
2,"ISO","2024-09-03 12:00:00+00",15485,"2024-09-03 12:00:00+00","13.721768660424516"
2,"ISO","2024-09-03 13:00:00+00",15377,"2024-09-03 13:00:00+00","15.76919411729466"
2,"ISO","2024-09-03 14:00:00+00",15343,"2024-09-03 14:00:00+00","17.28703153194266"
2,"ISO","2024-09-03 15:00:00+00",15516,"2024-09-03 15:00:00+00","18.47807173060147"
2,"ISO","2024-09-03 16:00:00+00",15807,"2024-09-03 16:00:00+00","19.449243201920353"
2,"ISO","2024-09-03 17:00:00+00",16143,"2024-09-03 17:00:00+00","20.239065231746736"
2,"ISO","2024-09-03 18:00:00+00",16430,"2024-09-03 18:00:00+00","20.862455752612732"
2,"ISO","2024-09-03 19:00:00+00",16750,"2024-09-03 19:00:00+00","21.288396187172737"
2,"ISO","2024-09-03 20:00:00+00",17290,"2024-09-03 20:00:00+00","21.461942997193148"
2,"ISO","2024-09-03 21:00:00+00",17931,"2024-09-03 21:00:00+00","21.356077667958346"
2,"ISO","2024-09-03 22:00:00+00",18347,"2024-09-03 22:00:00+00","20.971725030007576"
2,"ISO","2024-09-03 23:00:00+00",18670,"2024-09-03 23:00:00+00","19.82106282129422"
2,"ISO","2024-09-04 00:00:00+00",18538,"2024-09-04 00:00:00+00","18.148430643530503"
2,"ISO","2024-09-04 01:00:00+00",17577,"2024-09-04 01:00:00+00","17.152044529484954"
2,"ISO","2024-09-04 02:00:00+00",16449,"2024-09-04 02:00:00+00","16.328066585598037"
2,"ISO","2024-09-04 03:00:00+00",15362,"2024-09-04 03:00:00+00","15.716170322888445"
2,"ISO","2024-09-04 04:00:00+00",14298,"2024-09-04 04:00:00+00","15.45093603303394"
2,"ISO","2024-09-04 05:00:00+00",13774,"2024-09-04 05:00:00+00","15.03222745063465"
2,"ISO","2024-09-04 06:00:00+00",13399,"2024-09-04 06:00:00+00","14.59559962006557"
2,"ISO","2024-09-04 07:00:00+00",13181,"2024-09-04 07:00:00+00","14.087703434445132"
2,"ISO","2024-09-04 08:00:00+00",13253,"2024-09-04 08:00:00+00","13.698394544899202"
2,"ISO","2024-09-04 09:00:00+00",13847,"2024-09-04 09:00:00+00","13.375490301389107"
2,"ISO","2024-09-04 10:00:00+00",14902,"2024-09-04 10:00:00+00","13.074156563344388"
2,"ISO","2024-09-04 11:00:00+00",15350,"2024-09-04 11:00:00+00","12.942597763651804"
2,"ISO","2024-09-04 12:00:00+00",15382,"2024-09-04 12:00:00+00","15.139850624623762"
2,"ISO","2024-09-04 13:00:00+00",15382,"2024-09-04 13:00:00+00","18.16938057987153"
2,"ISO","2024-09-04 14:00:00+00",15445,"2024-09-04 14:00:00+00","20.093532657564765"
2,"ISO","2024-09-04 15:00:00+00",15777,"2024-09-04 15:00:00+00","21.470845839999754"
2,"ISO","2024-09-04 16:00:00+00",16312,"2024-09-04 16:00:00+00","22.47069167655377"
2,"ISO","2024-09-04 17:00:00+00",16835,"2024-09-04 17:00:00+00","23.185527549172377"
2,"ISO","2024-09-04 18:00:00+00",17279,"2024-09-04 18:00:00+00","23.56824419603106"
2,"ISO","2024-09-04 19:00:00+00",17827,"2024-09-04 19:00:00+00","23.732245768583198"
2,"ISO","2024-09-04 20:00:00+00",18394,"2024-09-04 20:00:00+00","23.648754304854094"
2,"ISO","2024-09-04 21:00:00+00",18933,"2024-09-04 21:00:00+00","23.278985800193652"
2,"ISO","2024-09-04 22:00:00+00",19080,"2024-09-04 22:00:00+00","22.551095762626744"
2,"ISO","2024-09-04 23:00:00+00",19470,"2024-09-04 23:00:00+00","20.992763729901185"
2,"ISO","2024-09-05 00:00:00+00",19082,"2024-09-05 00:00:00+00","19.27686481119912"
2,"ISO","2024-09-05 01:00:00+00",18025,"2024-09-05 01:00:00+00","18.242215895382742"
2,"ISO","2024-09-05 02:00:00+00",16805,"2024-09-05 02:00:00+00","17.454408058100512"
2,"ISO","2024-09-05 03:00:00+00",15689,"2024-09-05 03:00:00+00","16.80784191939057"
2,"ISO","2024-09-05 04:00:00+00",14686,"2024-09-05 04:00:00+00","16.306175362696706"
2,"ISO","2024-09-05 05:00:00+00",14087,"2024-09-05 05:00:00+00","15.82965403464533"
2,"ISO","2024-09-05 06:00:00+00",13656,"2024-09-05 06:00:00+00","15.375939868980367"
2,"ISO","2024-09-05 07:00:00+00",13402,"2024-09-05 07:00:00+00","14.909123857021996"
2,"ISO","2024-09-05 08:00:00+00",13453,"2024-09-05 08:00:00+00","14.483683335210742"
2,"ISO","2024-09-05 09:00:00+00",14054,"2024-09-05 09:00:00+00","14.125610937615932"
2,"ISO","2024-09-05 10:00:00+00",15126,"2024-09-05 10:00:00+00","13.813325621211959"
2,"ISO","2024-09-05 11:00:00+00",15624,"2024-09-05 11:00:00+00","13.70856292839784"
2,"ISO","2024-09-05 12:00:00+00",15696,"2024-09-05 12:00:00+00","16.056990339734114"
2,"ISO","2024-09-05 13:00:00+00",15727,"2024-09-05 13:00:00+00","18.83031220385351"
2,"ISO","2024-09-05 14:00:00+00",15878,"2024-09-05 14:00:00+00","20.512849976575353"
2,"ISO","2024-09-05 15:00:00+00",16253,"2024-09-05 15:00:00+00","21.814341038355224"
2,"ISO","2024-09-05 16:00:00+00",16786,"2024-09-05 16:00:00+00","22.844779208590523"
2,"ISO","2024-09-05 17:00:00+00",17354,"2024-09-05 17:00:00+00","23.52200027908185"
2,"ISO","2024-09-05 18:00:00+00",17829,"2024-09-05 18:00:00+00","23.845747066832587"
