"iso_id","region","load_date","load_forecast","weather_date","temperature_celsius"
4,"ISO","2024-08-29 04:00:00+00","104179","2024-08-29 04:00:00+00","25.15798241856527"
4,"ISO","2024-08-29 05:00:00+00","98401","2024-08-29 05:00:00+00","24.551094755268252"
4,"ISO","2024-08-29 06:00:00+00","94005","2024-08-29 06:00:00+00","24.009652457448112"
4,"ISO","2024-08-29 07:00:00+00","91445","2024-08-29 07:00:00+00","23.49178556905906"
4,"ISO","2024-08-29 08:00:00+00","90582","2024-08-29 08:00:00+00","23.002682370036382"
4,"ISO","2024-08-29 09:00:00+00","92483","2024-08-29 09:00:00+00","22.5626586902535"
4,"ISO","2024-08-29 10:00:00+00","96436","2024-08-29 10:00:00+00","22.174590295602968"
4,"ISO","2024-08-29 11:00:00+00","100351","2024-08-29 11:00:00+00","21.873043992238365"
4,"ISO","2024-08-29 12:00:00+00","104951","2024-08-29 12:00:00+00","22.78338326237639"
4,"ISO","2024-08-29 13:00:00+00","109828","2024-08-29 13:00:00+00","24.352678345559923"
4,"ISO","2024-08-29 14:00:00+00","115334","2024-08-29 14:00:00+00","25.836129685076003"
4,"ISO","2024-08-29 15:00:00+00","120512","2024-08-29 15:00:00+00","27.268839473927187"
4,"ISO","2024-08-29 16:00:00+00","125307","2024-08-29 16:00:00+00","28.538280509820083"
4,"ISO","2024-08-29 17:00:00+00","129302","2024-08-29 17:00:00+00","29.51844802638624"
4,"ISO","2024-08-29 18:00:00+00","131640","2024-08-29 18:00:00+00","30.11159011937309"
4,"ISO","2024-08-29 19:00:00+00","132909","2024-08-29 19:00:00+00","30.35412023586855"
4,"ISO","2024-08-29 20:00:00+00","133400","2024-08-29 20:00:00+00","30.274805378737994"
4,"ISO","2024-08-29 21:00:00+00","132941","2024-08-29 21:00:00+00","29.774027628766305"
4,"ISO","2024-08-29 22:00:00+00","130195","2024-08-29 22:00:00+00","28.837236376215913"
4,"ISO","2024-08-29 23:00:00+00","125501","2024-08-29 23:00:00+00","27.42773532386707"
4,"ISO","2024-08-30 00:00:00+00","121406","2024-08-30 00:00:00+00","25.564350697743407"
4,"ISO","2024-08-30 01:00:00+00","115789","2024-08-30 01:00:00+00","24.3311180094737"
4,"ISO","2024-08-30 02:00:00+00","107861","2024-08-30 02:00:00+00","23.60952781307941"
4,"ISO","2024-08-30 03:00:00+00","100321","2024-08-30 03:00:00+00","23.119712599295383"
4,"ISO","2024-08-30 04:00:00+00","96821","2024-08-30 04:00:00+00","23.02189202503837"
4,"ISO","2024-08-30 05:00:00+00","91803","2024-08-30 05:00:00+00","22.664046950447812"
4,"ISO","2024-08-30 06:00:00+00","88175","2024-08-30 06:00:00+00","22.372153329040714"
4,"ISO","2024-08-30 07:00:00+00","85914","2024-08-30 07:00:00+00","22.106714625150744"
4,"ISO","2024-08-30 08:00:00+00","85424","2024-08-30 08:00:00+00","21.881906565138138"
4,"ISO","2024-08-30 09:00:00+00","87689","2024-08-30 09:00:00+00","21.63416287484972"
4,"ISO","2024-08-30 10:00:00+00","92117","2024-08-30 10:00:00+00","21.40322176724993"
4,"ISO","2024-08-30 11:00:00+00","95728","2024-08-30 11:00:00+00","21.259247277897998"
4,"ISO","2024-08-30 12:00:00+00","99802","2024-08-30 12:00:00+00","21.780639145592033"
4,"ISO","2024-08-30 13:00:00+00","104221","2024-08-30 13:00:00+00","22.979477385121925"
4,"ISO","2024-08-30 14:00:00+00","109113","2024-08-30 14:00:00+00","24.246445949034353"
